theta_deg,Cp,V_real,V_imag
0.0000,1.0000,0.0000,0.0000
10.2857,0.8725,0.1275,0.7027
20.5714,0.5061,0.4939,1.3159
30.8571,-0.0523,1.0523,1.7612
41.1429,-0.7315,1.7315,1.9819
51.4286,-1.4450,2.4450,1.9499
61.7143,-2.1018,3.1018,1.6691
72.0000,-2.6180,3.6180,1.1756
82.2857,-2.9279,3.9279,0.5321
92.5714,-2.9919,3.9919,-0.1793
102.8571,-2.8019,3.8019,-0.8678
113.1429,-2.3821,3.3821,-1.4456
123.4286,-1.7861,2.7861,-1.8391
133.7143,-1.0897,2.0897,-1.9980
144.0000,-0.3820,1.3820,-1.9021
154.2857,0.2470,0.7530,-1.5637
164.5714,0.7169,0.2831,-1.0258
174.8571,0.9679,0.0321,-0.3571
185.1429,0.9679,0.0321,0.3571
195.4286,0.7169,0.2831,1.0258
205.7143,0.2470,0.7530,1.5637
216.0000,-0.3820,1.3820,1.9021
226.2857,-1.0897,2.0897,1.9980
236.5714,-1.7861,2.7861,1.8391
246.8571,-2.3821,3.3821,1.4456
257.1429,-2.8019,3.8019,0.8678
267.4286,-2.9919,3.9919,0.1793
277.7143,-2.9279,3.9279,-0.5321
288.0000,-2.6180,3.6180,-1.1756
298.2857,-2.1018,3.1018,-1.6691
308.5714,-1.4450,2.4450,-1.9499
318.8571,-0.7315,1.7315,-1.9819
329.1429,-0.0523,1.0523,-1.7612
339.4286,0.5061,0.4939,-1.3159
349.7143,0.8725,0.1275,-0.7027
360.0000,1.0000,0.0000,-0.0000
